"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"сумка через плечо","Shoulder bag","N","9,959.00","","","18,174.00","","","29.48%","较前30日","-29.45%","1.77","较前30日","-8.90%","0.13%","较前30日","-21.77%","较前30日","30.00%","",""
"ropa hombre","Men's clothing","N","10,525.00","较前30日","14.96%","17,886.00","","","16.34%","较前30日","-24.85%","1.00","较前30日","-0.24%","","较前30日","-19.97%","","","",""
"sex toys","sex toys","N","10,020.00","较前30日","3.97%","17,824.00","较前30日","9.60%","12.74%","","","0.21%","较前30日","5.46%","1.17","较前30日","0.27%","","","较前30日","0.00%"
"куртка","Jacket","N","10,318.00","较前30日","0.00%","17,624.00","较前30日","0.00%","38.67%","较前30日","0.00%","0.13%","较前30日","0.00%","1.28","","","","","较前30日","0.00%"
"очки с камерой","Glasses with camera","N","45.56%","","","1.09","","","","较前30日","-2.32%","","","","0.30%","较前30日","-2.39%","较前30日","30.43%","",""
"42 kg doll","42 kg doll","N","9,634.00","较前30日","0.00%","16,536.00","较前30日","0.00%","22.22%","较前30日","0.00%","0.00%","较前30日","0.00%","2.25","","","","","较前30日","0.00%"
"파타고니아후리스","Patagonia fleece","N","20.57%","较前30日","15.18%","0.23","","","","较前30日","-8.17%","","","","0.07%","","","较前30日","133.33%","",""
"tn","tn","Y","11,551.00","较前30日","8.14%","16,009.00","较前30日","2.76%","0.00%","","","","","","18.05%","","","较前30日","42.35%","较前30日","0.00%"
"очки женские солнцезащитные","Women's sunglasses","N","10,506.00","较前30日","0.00%","15,910.00","较前30日","0.00%","56.46%","较前30日","0.00%","1.24%","较前30日","0.00%","0.77","","","","","较前30日","0.00%"
"кроссовки","Sneakers","N","11,608.00","较前30日","12.58%","15,614.00","较前30日","9.19%","31.00%","","","0.10%","较前30日","7.27%","0.85","较前30日","21.88%","","","较前30日","0.00%"
"남성단련마사지","male training massage","N","9,653.00","较前30日","0.00%","15,591.00","较前30日","0.00%","19.70%","较前30日","0.00%","0.20%","较前30日","0.00%","0.47","","","","","较前30日","0.00%"
"string","string","Y","10,196.00","较前30日","0.08%","15,498.00","较前30日","2.57%","10.63%","较前30日","-16.67%","0.25%","较前30日","19.30%","3.15","较前30日","-9.91%","","","",""
"promo codes","promo codes","N","12,444.00","较前30日","0.00%","14,876.00","较前30日","0.00%","6.49%","较前30日","0.00%","0.49%","较前30日","0.00%","1.14","","","","","较前30日","0.00%"
"baggy sweatpants","baggy sweatpants","N","9,580.00","较前30日","2.40%","14,838.00","较前30日","5.47%","32.45%","较前30日","-7.80%","0.79%","较前30日","-10.23%","0.24","较前30日","-4.57%","","","",""
"veste","Jacket","Y","17.16%","","","0.18%","","","0.20","较前30日","-12.49%","","较前30日","-3.02%","","较前30日","-25.00%","","","",""
"sol de janeiro","sol de janeiro","Y","12,908.00","较前30日","8.99%","13,936.00","较前30日","5.31%","28.26%","较前30日","-5.07%","0.14","","","0.27%","较前30日","-5.76%","较前30日","440.00%","",""
"micro shortinho feminino","micro women's short","N","14.27%","较前30日","14.71%","0.12","较前30日","25.90%","","","","","","","0.05%","","","较前30日","150.00%","",""
"pants","pants","N","9,909.00","较前30日","0.00%","13,836.00","较前30日","0.00%","22.42%","较前30日","0.00%","0.30%","较前30日","0.00%","0.74","","","","","较前30日","0.00%"
"baja light","baja light","N","9,993.00","较前30日","0.00%","13,007.00","较前30日","0.00%","22.66%","较前30日","0.00%","0.61%","较前30日","0.00%","0.14","","","","","较前30日","0.00%"
"топ","Top","N","10,441.00","较前30日","0.00%","12,601.00","较前30日","0.00%","56.42%","较前30日","0.00%","0.03%","较前30日","0.00%","0.22","","","","","较前30日","0.00%"
"tights woman","tights woman","N","11,766.00","较前30日","0.00%","12,405.00","较前30日","0.00%","6.61%","较前30日","0.00%","0.00%","较前30日","0.00%","0.14","","","","","较前30日","0.00%"
"обвес на сумку","bag body kit","N","9,725.00","较前30日","0.00%","12,283.00","较前30日","0.00%","61.89%","较前30日","0.00%","0.77%","较前30日","0.00%","0.35","","","","","较前30日","0.00%"
"micro short feminino","women's micro short","N","13.06%","","","0.09","","","0.00%","较前30日","-6.71%","","较前30日","-100.00%","","较前30日","-20.74%","","","",""
"orders","orders","N","9,572.00","较前30日","0.00%","10,357.00","较前30日","0.00%","8.93%","较前30日","0.00%","0.04%","较前30日","0.00%","0.35","","","","","较前30日","0.00%"
